"Bin","Room","Rack","Type","Status","SKU","Males","Females","Pregnant Females","Mothers","Mother Slots","Rats/Litter","Due Date","Birth Date","Grow-out Start","Source Bin","Active Vacation Mothers","Label Primary","Label Secondary","QR Target","SKU Freezer On Hand","Shopify Variant IDs","Last Event","Note","Updated At"
"10-1-01","nursery","10S 1","10S","nursery","Pinky","0","0","0","1","1","9","2026-06-19","2026-06-14","","","0","10-1-01","Nursery / 10S 1 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-1-01","0","PNK-12CT:46430270226588|PNK-24CT:46430270259356|PNK-48CT:46430270292124","Seeded Pinky nursery litter","Pinky target","2026-06-18T03:02:59.864Z"
"10-1-02","nursery","10S 1","10S","nursery","Weaned","0","0","0","1","1","10","2026-06-23","2026-06-02","","","0","10-1-02","Nursery / 10S 1 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-1-02","0","WEAN-12CT:46430079877276|WEAN-24CT:46430079910044|WEAN-48CT:46430079942812","Seeded Weaned nursery litter","Weaned target","2026-06-18T03:02:59.864Z"
"10-1-03","nursery","10S 1","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-1-03","Nursery / 10S 1 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-1-03","","","","","2026-06-18T03:02:59.864Z"
"10-1-04","nursery","10S 1","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-1-04","Nursery / 10S 1 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-1-04","","","","","2026-06-18T03:02:59.864Z"
"10-1-05","nursery","10S 1","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-1-05","Nursery / 10S 1 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-1-05","","","","","2026-06-18T03:02:59.864Z"
"10-1-06","nursery","10S 1","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-1-06","Nursery / 10S 1 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-1-06","","","","","2026-06-18T03:02:59.864Z"
"10-1-07","nursery","10S 1","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-1-07","Nursery / 10S 1 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-1-07","","","","","2026-06-18T03:02:59.864Z"
"10-1-08","nursery","10S 1","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-1-08","Nursery / 10S 1 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-1-08","","","","","2026-06-18T03:02:59.864Z"
"10-1-09","nursery","10S 1","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-1-09","Nursery / 10S 1 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-1-09","","","","","2026-06-18T03:02:59.864Z"
"10-2-01","nursery","10S 2","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-2-01","Nursery / 10S 2 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-2-01","","","","","2026-06-18T03:02:59.864Z"
"10-2-02","nursery","10S 2","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-2-02","Nursery / 10S 2 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-2-02","","","","","2026-06-18T03:02:59.864Z"
"10-2-03","nursery","10S 2","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-2-03","Nursery / 10S 2 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-2-03","","","","","2026-06-18T03:02:59.864Z"
"10-2-04","nursery","10S 2","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-2-04","Nursery / 10S 2 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-2-04","","","","","2026-06-18T03:02:59.864Z"
"10-2-05","nursery","10S 2","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-2-05","Nursery / 10S 2 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-2-05","","","","","2026-06-18T03:02:59.864Z"
"10-2-06","nursery","10S 2","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-2-06","Nursery / 10S 2 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-2-06","","","","","2026-06-18T03:02:59.864Z"
"10-2-07","nursery","10S 2","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-2-07","Nursery / 10S 2 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-2-07","","","","","2026-06-18T03:02:59.864Z"
"10-2-08","nursery","10S 2","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-2-08","Nursery / 10S 2 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-2-08","","","","","2026-06-18T03:02:59.864Z"
"10-2-09","nursery","10S 2","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-2-09","Nursery / 10S 2 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-2-09","","","","","2026-06-18T03:02:59.864Z"
"10-3-01","nursery","10S 3","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-3-01","Nursery / 10S 3 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-3-01","","","","","2026-06-18T03:02:59.864Z"
"10-3-02","nursery","10S 3","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-3-02","Nursery / 10S 3 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-3-02","","","","","2026-06-18T03:02:59.864Z"
"10-3-03","nursery","10S 3","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-3-03","Nursery / 10S 3 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-3-03","","","","","2026-06-18T03:02:59.864Z"
"10-3-04","nursery","10S 3","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-3-04","Nursery / 10S 3 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-3-04","","","","","2026-06-18T03:02:59.864Z"
"10-3-05","nursery","10S 3","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-3-05","Nursery / 10S 3 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-3-05","","","","","2026-06-18T03:02:59.864Z"
"10-3-06","nursery","10S 3","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-3-06","Nursery / 10S 3 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-3-06","","","","","2026-06-18T03:02:59.864Z"
"10-3-07","nursery","10S 3","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-3-07","Nursery / 10S 3 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-3-07","","","","","2026-06-18T03:02:59.864Z"
"10-3-08","nursery","10S 3","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-3-08","Nursery / 10S 3 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-3-08","","","","","2026-06-18T03:02:59.864Z"
"10-3-09","nursery","10S 3","10S","open","No SKU","0","0","0","0","1","0","","","","","0","10-3-09","Nursery / 10S 3 / 10S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#10-3-09","","","","","2026-06-18T03:02:59.864Z"
"55-1-01","nursery","55S 1","55S","nursery","Pinky","0","0","0","2","2","18","2026-06-17","2026-06-12","","","0","55-1-01","Nursery / 55S 1 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-1-01","0","PNK-12CT:46430270226588|PNK-24CT:46430270259356|PNK-48CT:46430270292124","Seeded Pinky nursery litter","Pinky target","2026-06-18T03:02:59.863Z"
"55-1-02","nursery","55S 1","55S","nursery","Fuzzy","0","0","0","2","2","19","2026-06-18","2026-06-09","","","0","55-1-02","Nursery / 55S 1 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-1-02","0","FUZ-12CT:46430226186396|FUZ-24CT:46430226219164|FUZ-48CT:46430226251932","Seeded Fuzzy nursery litter","Fuzzy target","2026-06-18T03:02:59.863Z"
"55-1-03","nursery","55S 1","55S","nursery","Pup","0","0","0","2","2","18","2026-06-20","2026-06-06","","","0","55-1-03","Nursery / 55S 1 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-1-03","0","PUP-12CT:46430145052828|PUP-24CT:46430145085596|PUP-48CT:46430145118364","Seeded Pup nursery litter","Pup target","2026-06-18T03:02:59.863Z"
"55-1-04","nursery","55S 1","55S","nursery","Weaned","0","0","0","2","2","17","2026-06-22","2026-06-01","","","0","55-1-04","Nursery / 55S 1 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-1-04","0","WEAN-12CT:46430079877276|WEAN-24CT:46430079910044|WEAN-48CT:46430079942812","Seeded Weaned nursery litter","Weaned target","2026-06-18T03:02:59.863Z"
"55-1-05","nursery","55S 1","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-1-05","Nursery / 55S 1 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-1-05","","","","","2026-06-18T03:02:59.863Z"
"55-1-06","nursery","55S 1","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-1-06","Nursery / 55S 1 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-1-06","","","","","2026-06-18T03:02:59.863Z"
"55-1-07","nursery","55S 1","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-1-07","Nursery / 55S 1 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-1-07","","","","","2026-06-18T03:02:59.863Z"
"55-1-08","nursery","55S 1","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-1-08","Nursery / 55S 1 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-1-08","","","","","2026-06-18T03:02:59.863Z"
"55-1-09","nursery","55S 1","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-1-09","Nursery / 55S 1 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-1-09","","","","","2026-06-18T03:02:59.863Z"
"55-2-01","nursery","55S 2","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-2-01","Nursery / 55S 2 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-2-01","","","","","2026-06-18T03:02:59.863Z"
